                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     16,                 1.0839,                  2.126,                 1.5173,                0.92728,                0.37327,                0.74167,                 0.5346,                 1.5189,                 1.8532,                 1.3558,             1.5199e-05,             1.5199e-05,             1.5199e-05
                     17,                0.82413,                 1.6473,                 1.1579,                0.92688,                0.37337,                0.65989,                0.49842,                 1.5203,                 1.8838,                 1.3591,             1.6024e-05,             1.6024e-05,             1.6024e-05
                     18,                 1.1216,                 1.6032,                 1.3436,                0.92688,                0.37337,                0.65989,                0.49842,                 1.5203,                 1.8838,                 1.3591,             1.6825e-05,             1.6825e-05,             1.6825e-05
                     19,                0.96987,                 1.6818,                 1.1624,                0.92619,                0.37338,                0.63233,                0.48466,                 1.5635,                 1.9788,                 1.3719,             1.7603e-05,             1.7603e-05,             1.7603e-05
                     20,                0.95403,                 1.4901,                 1.2577,                0.92619,                0.37338,                0.63233,                0.48466,                 1.5635,                 1.9788,                 1.3719,             1.8357e-05,             1.8357e-05,             1.8357e-05
                     21,                  1.175,                 2.6229,                  1.576,                0.92041,                0.37335,                0.60382,                0.46738,                 1.5958,                 2.0892,                 1.4126,             1.9088e-05,             1.9088e-05,             1.9088e-05
                     22,                  1.187,                 2.3338,                 1.6109,                0.92041,                0.37335,                0.60382,                0.46738,                 1.5958,                 2.0892,                 1.4126,             1.9795e-05,             1.9795e-05,             1.9795e-05
                     23,                0.91191,                 1.8862,                 1.3885,                0.91749,                0.37314,                0.60371,                0.46049,                 1.6084,                 2.1516,                 1.4202,             2.0478e-05,             2.0478e-05,             2.0478e-05
                     24,                 1.1466,                 2.3035,                 1.6088,                0.91749,                0.37314,                0.60371,                0.46049,                 1.6084,                 2.1516,                 1.4202,             2.1138e-05,             2.1138e-05,             2.1138e-05
                     25,                0.86731,                   1.53,                 1.2761,                0.91689,                0.37307,                0.57614,                0.45698,                 1.6327,                 2.2257,                   1.45,             2.1774e-05,             2.1774e-05,             2.1774e-05
                     26,                0.89164,                  1.815,                  1.342,                0.91689,                0.37307,                0.57614,                0.45698,                 1.6327,                 2.2257,                   1.45,             2.2387e-05,             2.2387e-05,             2.2387e-05
                     27,                0.93028,                 1.7564,                 1.4101,                0.91355,                0.37298,                0.57612,                0.44034,                  1.662,                 2.2769,                 1.4836,             2.2976e-05,             2.2976e-05,             2.2976e-05
                     28,                0.85989,                 1.2881,                 1.2099,                0.91355,                0.37298,                0.57612,                0.44034,                  1.662,                 2.2769,                 1.4836,             2.3542e-05,             2.3542e-05,             2.3542e-05
                     29,                0.89529,                 1.5641,                 1.2193,                0.91482,                0.37337,                0.57531,                0.43969,                 1.6652,                 2.2893,                 1.4902,             2.4084e-05,             2.4084e-05,             2.4084e-05
                     30,                 1.2827,                 2.7046,                  1.615,                0.91482,                0.37337,                0.57531,                0.43969,                 1.6652,                 2.2893,                 1.4902,             2.4602e-05,             2.4602e-05,             2.4602e-05
                     31,                0.97426,                 1.2922,                 1.2518,                0.91358,                0.37312,                0.49414,                0.36405,                 1.6667,                 2.2981,                  1.496,             2.5097e-05,             2.5097e-05,             2.5097e-05
                     32,                0.66368,                 1.4201,                  1.161,                0.91358,                0.37312,                0.49414,                0.36405,                 1.6667,                 2.2981,                  1.496,             2.5568e-05,             2.5568e-05,             2.5568e-05
                     33,                0.69056,                 1.0525,                 1.2673,                 0.9143,                0.37319,                0.45244,                0.31831,                 1.6569,                 2.3056,                 1.4898,             2.6016e-05,             2.6016e-05,             2.6016e-05
                     34,                   1.01,                 1.1321,                 1.3117,                 0.9143,                0.37319,                0.45244,                0.31831,                 1.6569,                 2.3056,                 1.4898,              2.644e-05,              2.644e-05,              2.644e-05
                     35,                 1.0439,                 2.1418,                 1.4278,                0.91038,                0.37289,                0.45271,                0.31948,                 1.6669,                 2.3322,                 1.4946,             2.6841e-05,             2.6841e-05,             2.6841e-05
                     36,                0.86976,                 1.3621,                 1.2414,                0.91038,                0.37289,                0.45271,                0.31948,                 1.6669,                 2.3322,                 1.4946,             2.7218e-05,             2.7218e-05,             2.7218e-05
                     37,                0.85618,                 1.3752,                 1.2192,                0.91351,                0.37297,                0.45155,                0.31938,                 1.6831,                 2.3649,                 1.5109,             2.7572e-05,             2.7572e-05,             2.7572e-05
                     38,                0.46827,                0.92307,                0.96677,                0.91351,                0.37297,                0.45155,                0.31938,                 1.6831,                 2.3649,                 1.5109,             2.7902e-05,             2.7902e-05,             2.7902e-05
                     39,                0.74186,                0.92532,                 1.0878,                0.91073,                0.37217,                0.45164,                0.31961,                 1.6834,                 2.3854,                 1.5025,             2.8208e-05,             2.8208e-05,             2.8208e-05
                     40,                0.66242,                0.75774,                 1.0691,                0.91073,                0.37217,                0.45164,                0.31961,                 1.6834,                 2.3854,                 1.5025,             2.8491e-05,             2.8491e-05,             2.8491e-05
                     41,                0.69405,                0.99745,                 1.0498,                0.91122,                0.37179,                 0.4534,                0.30585,                 1.7063,                 2.3753,                 1.5225,              2.875e-05,              2.875e-05,              2.875e-05
                     42,                0.60663,                 1.8765,                 1.1011,                0.91122,                0.37179,                 0.4534,                0.30585,                 1.7063,                 2.3753,                 1.5225,             2.8986e-05,             2.8986e-05,             2.8986e-05
                     43,                0.94324,                 1.3752,                 1.2839,                0.91211,                0.37105,                0.45372,                0.30497,                  1.715,                 2.3672,                 1.5227,             2.9198e-05,             2.9198e-05,             2.9198e-05
                     44,                0.95189,                0.96399,                  1.338,                0.91211,                0.37105,                0.45372,                0.30497,                  1.715,                 2.3672,                 1.5227,             2.9387e-05,             2.9387e-05,             2.9387e-05
                     45,                0.58797,                0.77378,                0.99825,                0.91198,                0.37081,                0.44464,                0.32679,                 1.7347,                  2.395,                 1.5278,             2.9552e-05,             2.9552e-05,             2.9552e-05
                     46,                0.75311,                 1.2425,                 1.2119,                0.91198,                0.37081,                0.44464,                0.32679,                 1.7347,                  2.395,                 1.5278,             2.9693e-05,             2.9693e-05,             2.9693e-05
                     47,                0.73061,                 1.7605,                 1.1884,                0.91076,                0.37077,                0.42001,                0.30086,                 1.7572,                 2.4086,                 1.5409,             2.9811e-05,             2.9811e-05,             2.9811e-05
                     48,                0.93158,                 1.7211,                 1.2532,                0.91076,                0.37077,                0.42001,                0.30086,                 1.7572,                 2.4086,                 1.5409,             2.9906e-05,             2.9906e-05,             2.9906e-05
                     49,                0.82339,                0.95287,                 1.3278,                0.91223,                0.37067,                0.42131,                0.30144,                 1.7923,                 2.3978,                 1.5629,             2.9977e-05,             2.9977e-05,             2.9977e-05
                     50,                0.71087,                 1.1162,                 1.2478,                0.91223,                0.37067,                0.42131,                0.30144,                 1.7923,                 2.3978,                 1.5629,             3.0024e-05,             3.0024e-05,             3.0024e-05
                     51,                0.82338,                0.99697,                 1.1673,                0.93929,                0.38705,                0.42148,                0.30228,                 1.8206,                 2.4327,                 1.5941,             3.0048e-05,             3.0048e-05,             3.0048e-05
                     52,                 0.8926,                0.89822,                 1.2885,                0.93929,                0.38705,                0.42148,                0.30228,                 1.8206,                 2.4327,                 1.5941,             3.0048e-05,             3.0048e-05,             3.0048e-05
                     53,                 0.6664,                0.69549,                 1.2078,                0.93929,                0.38705,                0.42148,                0.30228,                 1.8206,                 2.4327,                 1.5941,             3.0024e-05,             3.0024e-05,             3.0024e-05
                     54,                0.78354,                0.91365,                 1.2535,                0.90187,                0.37688,                0.42198,                0.30014,                 1.8393,                  2.457,                 1.6048,             2.9977e-05,             2.9977e-05,             2.9977e-05
                     55,                0.76507,                0.91307,                 1.1018,                0.90187,                0.37688,                0.42198,                0.30014,                 1.8393,                  2.457,                 1.6048,             2.9907e-05,             2.9907e-05,             2.9907e-05
                     56,                 1.2169,                  2.016,                 1.6466,                0.90187,                0.37688,                0.42198,                0.30014,                 1.8393,                  2.457,                 1.6048,             2.9812e-05,             2.9812e-05,             2.9812e-05
                     57,                 1.0809,                 1.5322,                   1.38,                0.93974,                  0.389,                0.42633,                0.30025,                 1.8131,                 2.4234,                  1.566,             2.9695e-05,             2.9695e-05,             2.9695e-05
                     58,                0.92242,                 1.4524,                 1.3309,                0.93974,                  0.389,                0.42633,                0.30025,                 1.8131,                 2.4234,                  1.566,             2.9554e-05,             2.9554e-05,             2.9554e-05
                     59,                0.75168,                0.78188,                 1.1685,                0.93974,                  0.389,                0.42633,                0.30025,                 1.8131,                 2.4234,                  1.566,             2.9389e-05,             2.9389e-05,             2.9389e-05
                     60,                 1.0671,                0.86676,                 1.6082,                0.93941,                0.38971,                0.42705,                0.28336,                 1.8473,                 2.4245,                 1.5927,               2.92e-05,               2.92e-05,               2.92e-05
                     61,                0.68032,                0.75738,                 1.1456,                0.93941,                0.38971,                0.42705,                0.28336,                 1.8473,                 2.4245,                 1.5927,             2.8988e-05,             2.8988e-05,             2.8988e-05
                     62,                0.73601,                 1.0292,                 1.0736,                0.93941,                0.38971,                0.42705,                0.28336,                 1.8473,                 2.4245,                 1.5927,             2.8753e-05,             2.8753e-05,             2.8753e-05
                     63,                0.75292,                0.82762,                 1.1359,                0.93547,                0.39043,                0.42748,                0.28508,                 1.8313,                 2.3905,                 1.5717,             2.8494e-05,             2.8494e-05,             2.8494e-05
                     64,                0.69758,                0.74322,                 1.1134,                0.93547,                0.39043,                0.42748,                0.28508,                 1.8313,                 2.3905,                 1.5717,             2.8211e-05,             2.8211e-05,             2.8211e-05
                     65,                0.60537,                0.89946,                 1.1892,                0.93547,                0.39043,                0.42748,                0.28508,                 1.8313,                 2.3905,                 1.5717,             2.7905e-05,             2.7905e-05,             2.7905e-05
                     66,                0.67909,                 1.0435,                 1.0789,                 0.9347,                0.40706,                0.43057,                0.28476,                 1.8339,                 2.3854,                 1.5701,             2.7575e-05,             2.7575e-05,             2.7575e-05
                     67,                0.74207,                 1.1429,                 1.1099,                 0.9347,                0.40706,                0.43057,                0.28476,                 1.8339,                 2.3854,                 1.5701,             2.7222e-05,             2.7222e-05,             2.7222e-05
                     68,                 1.1159,                  1.987,                  1.467,                 0.9347,                0.40706,                0.43057,                0.28476,                 1.8339,                 2.3854,                 1.5701,             2.6845e-05,             2.6845e-05,             2.6845e-05
                     69,                 0.6815,                 1.1617,                 1.1782,                0.93755,                0.40536,                0.43363,                 0.2854,                  1.821,                 2.3667,                 1.5466,             2.6445e-05,             2.6445e-05,             2.6445e-05
                     70,                0.92881,                  1.092,                 1.4438,                0.93755,                0.40536,                0.43363,                 0.2854,                  1.821,                 2.3667,                 1.5466,             2.6021e-05,             2.6021e-05,             2.6021e-05
                     71,                 1.0161,                 1.2832,                 1.3982,                0.93755,                0.40536,                0.43363,                 0.2854,                  1.821,                 2.3667,                 1.5466,             2.5573e-05,             2.5573e-05,             2.5573e-05
                     72,                0.62945,                 0.6563,                 1.0661,                 0.9369,                0.40767,                0.43313,                0.31691,                 1.8512,                 2.3965,                 1.5758,             2.5102e-05,             2.5102e-05,             2.5102e-05
                     73,                0.76277,                 1.1125,                 1.1235,                 0.9369,                0.40767,                0.43313,                0.31691,                 1.8512,                 2.3965,                 1.5758,             2.4607e-05,             2.4607e-05,             2.4607e-05
                     74,                0.75965,                0.73705,                 1.2167,                 0.9369,                0.40767,                0.43313,                0.31691,                 1.8512,                 2.3965,                 1.5758,             2.4089e-05,             2.4089e-05,             2.4089e-05
                     75,                0.75555,                0.64901,                 1.1631,                0.93711,                0.40813,                0.43273,                0.31683,                 1.8478,                 2.3548,                 1.5747,             2.3547e-05,             2.3547e-05,             2.3547e-05
                     76,                0.70818,                 1.0183,                 1.1973,                0.93711,                0.40813,                0.43273,                0.31683,                 1.8478,                 2.3548,                 1.5747,             2.2982e-05,             2.2982e-05,             2.2982e-05
                     77,                 0.6471,                0.71895,                 1.1169,                0.93711,                0.40813,                0.43273,                0.31683,                 1.8478,                 2.3548,                 1.5747,             2.2393e-05,             2.2393e-05,             2.2393e-05
                     78,                0.91214,                 1.2215,                 1.2211,                0.93703,                0.40906,                0.43307,                0.30022,                 1.8753,                 2.3667,                 1.5986,              2.178e-05,              2.178e-05,              2.178e-05
                     79,                0.63968,                 0.8905,                 1.1207,                0.93703,                0.40906,                0.43307,                0.30022,                 1.8753,                 2.3667,                 1.5986,             2.1144e-05,             2.1144e-05,             2.1144e-05
                     80,                0.77864,                0.81268,                   1.21,                0.93703,                0.40906,                0.43307,                0.30022,                 1.8753,                 2.3667,                 1.5986,             2.0485e-05,             2.0485e-05,             2.0485e-05
                     81,                0.51847,                0.50104,                0.99536,                0.92867,                0.40986,                0.43375,                0.30045,                 1.8684,                 2.3658,                 1.5818,             1.9802e-05,             1.9802e-05,             1.9802e-05
                     82,                 0.7709,                0.68442,                 1.1362,                0.92867,                0.40986,                0.43375,                0.30045,                 1.8684,                 2.3658,                 1.5818,             1.9095e-05,             1.9095e-05,             1.9095e-05
                     83,                0.76614,                0.84035,                 1.1856,                0.92867,                0.40986,                0.43375,                0.30045,                 1.8684,                 2.3658,                 1.5818,             1.8365e-05,             1.8365e-05,             1.8365e-05
                     84,                0.70832,                0.64524,                 1.1041,                0.92575,                0.40974,                 0.4331,                 0.3004,                  1.884,                 2.4105,                 1.5905,             1.7611e-05,             1.7611e-05,             1.7611e-05
                     85,                0.72949,                0.86394,                 1.2313,                0.92575,                0.40974,                 0.4331,                 0.3004,                  1.884,                 2.4105,                 1.5905,             1.6833e-05,             1.6833e-05,             1.6833e-05
                     86,                0.88792,                0.87722,                 1.1688,                0.92575,                0.40974,                 0.4331,                 0.3004,                  1.884,                 2.4105,                 1.5905,             1.6032e-05,             1.6032e-05,             1.6032e-05
                     87,                0.68482,                  0.774,                 1.0409,                0.92575,                0.40974,                 0.4331,                 0.3004,                  1.884,                 2.4105,                 1.5905,             1.5208e-05,             1.5208e-05,             1.5208e-05
                     88,                0.84108,                 1.0012,                 1.3487,                0.92105,                0.40978,                0.43243,                0.30072,                 1.8905,                  2.429,                 1.5911,              1.436e-05,              1.436e-05,              1.436e-05
                     89,                  1.027,                 1.0978,                  1.511,                0.92105,                0.40978,                0.43243,                0.30072,                 1.8905,                  2.429,                 1.5911,             1.3488e-05,             1.3488e-05,             1.3488e-05
                     90,                0.68863,                0.69791,                  1.062,                0.92105,                0.40978,                0.43243,                0.30072,                 1.8905,                  2.429,                 1.5911,             1.2593e-05,             1.2593e-05,             1.2593e-05
                     91,                0.52315,                0.52416,                0.92733,                0.92105,                0.40978,                0.43243,                0.30072,                 1.8905,                  2.429,                 1.5911,             1.1674e-05,             1.1674e-05,             1.1674e-05
                     92,                0.81377,                0.90842,                 1.0355,                0.93483,                0.40528,                0.43107,                 0.3157,                 1.8682,                 2.4539,                 1.5736,             1.0732e-05,             1.0732e-05,             1.0732e-05
                     93,                0.46712,                0.56991,                 1.0227,                0.93483,                0.40528,                0.43107,                 0.3157,                 1.8682,                 2.4539,                 1.5736,             9.7656e-06,             9.7656e-06,             9.7656e-06
                     94,                0.60965,                0.60272,                0.93467,                0.93483,                0.40528,                0.43107,                 0.3157,                 1.8682,                 2.4539,                 1.5736,             8.7761e-06,             8.7761e-06,             8.7761e-06
                     95,                0.50272,                0.59184,                0.95063,                0.93483,                0.40528,                0.43107,                 0.3157,                 1.8682,                 2.4539,                 1.5736,             7.7631e-06,             7.7631e-06,             7.7631e-06
                     96,                0.47537,                 0.6101,                0.98626,                0.92161,                0.40641,                0.43017,                0.31669,                 1.8422,                 2.4533,                 1.5297,             6.7265e-06,             6.7265e-06,             6.7265e-06
                     97,                0.72782,                0.78077,                 1.0503,                0.92161,                0.40641,                0.43017,                0.31669,                 1.8422,                 2.4533,                 1.5297,             5.6663e-06,             5.6663e-06,             5.6663e-06
                     98,                0.48974,                0.55093,                0.91469,                0.92161,                0.40641,                0.43017,                0.31669,                 1.8422,                 2.4533,                 1.5297,             4.5826e-06,             4.5826e-06,             4.5826e-06
                     99,                0.65321,                0.69602,                 1.0251,                0.92161,                0.40641,                0.43017,                0.31669,                 1.8422,                 2.4533,                 1.5297,             3.4753e-06,             3.4753e-06,             3.4753e-06
                    100,                0.48795,                0.55322,                0.98164,                 0.9412,                0.40119,                0.43036,                0.30727,                  1.837,                 2.4674,                 1.5425,             2.3444e-06,             2.3444e-06,             2.3444e-06
